# CT14 NNLO Q=1.057
# x  w(x)  delta_w(x)
4.698941E-03  1.403583E-02  3.627864E-03
4.742420E-03  1.406804E-02  3.645315E-03
4.786301E-03  1.412000E-02  3.683590E-03
4.830588E-03  1.417299E-02  3.670467E-03
4.875285E-03  1.423574E-02  3.689609E-03
4.920395E-03  1.430962E-02  3.736076E-03
4.965923E-03  1.436999E-02  3.752884E-03
5.011872E-03  1.439359E-02  3.778225E-03
5.058247E-03  1.446146E-02  3.776336E-03
5.105050E-03  1.452226E-02  3.801409E-03
5.152286E-03  1.457405E-02  3.833934E-03
5.199960E-03  1.466351E-02  3.822829E-03
5.248075E-03  1.470783E-02  3.853998E-03
5.296634E-03  1.478257E-02  3.856033E-03
5.345644E-03  1.482009E-02  3.883680E-03
5.395106E-03  1.488152E-02  3.929802E-03
5.445027E-03  1.495753E-02  3.937779E-03
5.495409E-03  1.501562E-02  3.955216E-03
5.546257E-03  1.502818E-02  3.973378E-03
5.597576E-03  1.509603E-02  3.984446E-03
5.649370E-03  1.516314E-02  4.018141E-03
5.701643E-03  1.522091E-02  4.033561E-03
5.754399E-03  1.527613E-02  4.062754E-03
5.807644E-03  1.536315E-02  4.074386E-03
5.861382E-03  1.542915E-02  4.092925E-03
5.915616E-03  1.547546E-02  4.113037E-03
5.970353E-03  1.559273E-02  4.129064E-03
6.025596E-03  1.563035E-02  4.137098E-03
6.081350E-03  1.567142E-02  4.196952E-03
6.137620E-03  1.578363E-02  4.188517E-03
6.194411E-03  1.583670E-02  4.206621E-03
6.251727E-03  1.589388E-02  4.243658E-03
6.309573E-03  1.594042E-02  4.266412E-03
6.367955E-03  1.600983E-02  4.303272E-03
6.426877E-03  1.608829E-02  4.300170E-03
6.486344E-03  1.612001E-02  4.318107E-03
6.546362E-03  1.622252E-02  4.356433E-03
6.606934E-03  1.627437E-02  4.388065E-03
6.668068E-03  1.637237E-02  4.377591E-03
6.729767E-03  1.644230E-02  4.422257E-03
6.792036E-03  1.652719E-02  4.458334E-03
6.854882E-03  1.657367E-02  4.475150E-03
6.918310E-03  1.666809E-02  4.500494E-03
6.982324E-03  1.675227E-02  4.492769E-03
7.046931E-03  1.680959E-02  4.509972E-03
7.112135E-03  1.685946E-02  4.558488E-03
7.177943E-03  1.696572E-02  4.570600E-03
7.244360E-03  1.700893E-02  4.589018E-03
7.311391E-03  1.711455E-02  4.632722E-03
7.379042E-03  1.718244E-02  4.640576E-03
7.447320E-03  1.724314E-02  4.671299E-03
7.516229E-03  1.736491E-02  4.668635E-03
7.585776E-03  1.740710E-02  4.713078E-03
7.655966E-03  1.751285E-02  4.712915E-03
7.726806E-03  1.756155E-02  4.779485E-03
7.798301E-03  1.767674E-02  4.762391E-03
7.870458E-03  1.773460E-02  4.788647E-03
7.943282E-03  1.782760E-02  4.812930E-03
8.016781E-03  1.793457E-02  4.859719E-03
8.090959E-03  1.799361E-02  4.868955E-03
