# NNPDF30 NNLO Q=1.000
# x  w(x)  delta_w(x)
9.289664E-03  5.399626E-03  1.419024E-03
9.375620E-03  5.454334E-03  1.426912E-03
9.462372E-03  5.505131E-03  1.434394E-03
9.549926E-03  5.556133E-03  1.441819E-03
9.638290E-03  5.613895E-03  1.451647E-03
9.727472E-03  5.649419E-03  1.458935E-03
9.817479E-03  5.709681E-03  1.468748E-03
9.908319E-03  5.780201E-03  1.476762E-03
1.000000E-02  5.832288E-03  1.484007E-03
1.198397E-02  7.029700E-03  1.663613E-03
1.396794E-02  8.264463E-03  1.829833E-03
1.595190E-02  9.480668E-03  1.979560E-03
1.793587E-02  1.080301E-02  2.112673E-03
1.991984E-02  1.209966E-02  2.234567E-03
2.190381E-02  1.339968E-02  2.350943E-03
2.388778E-02  1.478863E-02  2.449479E-03
2.587174E-02  1.607838E-02  2.545768E-03
2.785571E-02  1.751401E-02  2.626870E-03
2.983968E-02  1.890804E-02  2.704340E-03
3.182365E-02  2.035197E-02  2.777884E-03
3.380762E-02  2.173713E-02  2.844231E-03
3.579158E-02  2.323179E-02  2.903969E-03
3.777555E-02  2.470108E-02  2.955189E-03
3.975952E-02  2.612753E-02  3.015288E-03
4.174349E-02  2.766837E-02  3.065428E-03
4.372745E-02  2.916633E-02  3.114179E-03
4.571142E-02  3.075423E-02  3.166681E-03
4.769539E-02  3.219644E-02  3.205534E-03
4.967936E-02  3.376438E-02  3.252673E-03
5.166333E-02  3.536578E-02  3.299559E-03
5.364729E-02  3.694511E-02  3.345624E-03
5.563126E-02  3.857574E-02  3.374426E-03
5.761523E-02  4.018594E-02  3.415415E-03
5.959920E-02  4.178129E-02  3.448639E-03
6.158317E-02  4.349335E-02  3.489252E-03
6.356713E-02  4.512792E-02  3.525371E-03
6.555110E-02  4.670709E-02  3.564829E-03
6.753507E-02  4.846934E-02  3.596416E-03
6.951904E-02  5.012969E-02  3.621434E-03
7.150301E-02  5.172288E-02  3.655265E-03
7.348697E-02  5.358199E-02  3.687766E-03
7.547094E-02  5.535310E-02  3.710010E-03
7.745491E-02  5.699346E-02  3.732780E-03
7.943888E-02  5.885661E-02  3.764707E-03
8.142285E-02  6.061015E-02  3.788938E-03
8.340681E-02  6.230603E-02  3.817942E-03
8.539078E-02  6.399108E-02  3.858299E-03
8.737475E-02  6.605329E-02  3.870658E-03
8.935872E-02  6.772576E-02  3.897001E-03
9.134269E-02  6.959765E-02  3.905977E-03
9.332665E-02  7.156018E-02  3.928460E-03
9.531062E-02  7.339803E-02  3.976123E-03
9.729459E-02  7.526701E-02  3.991702E-03
9.927856E-02  7.717241E-02  4.010317E-03
1.012625E-01  7.896729E-02  4.006644E-03
1.032465E-01  8.106521E-02  4.021292E-03
1.052305E-01  8.299379E-02  4.050964E-03
1.072144E-01  8.487468E-02  4.075054E-03
1.091984E-01  8.682022E-02  4.085998E-03
1.111824E-01  8.892901E-02  4.105222E-03
1.131663E-01  9.089425E-02  4.104192E-03
1.151503E-01  9.298140E-02  4.120727E-03
1.171343E-01  9.499968E-02  4.147190E-03
1.191182E-01  9.698527E-02  4.163315E-03
1.211022E-01  9.906490E-02  4.164340E-03
1.230862E-01  1.011821E-01  4.175481E-03
1.250701E-01  1.032422E-01  4.178114E-03
1.270541E-01  1.052576E-01  4.191994E-03
1.290381E-01  1.073332E-01  4.202233E-03
1.310220E-01  1.094966E-01  4.238799E-03
1.330060E-01  1.119557E-01  4.249143E-03
1.349900E-01  1.138505E-01  4.241271E-03
1.369739E-01  1.163150E-01  4.260194E-03
1.389579E-01  1.185173E-01  4.265946E-03
1.409419E-01  1.206149E-01  4.303032E-03
1.429259E-01  1.229133E-01  4.306779E-03
1.449098E-01  1.249872E-01  4.344238E-03
1.468938E-01  1.275455E-01  4.333517E-03
1.488778E-01  1.295853E-01  4.333759E-03
1.508617E-01  1.320878E-01  4.344991E-03
1.528457E-01  1.343127E-01  4.372720E-03
1.548297E-01  1.365556E-01  4.378203E-03
1.568136E-01  1.387885E-01  4.419364E-03
1.587976E-01  1.412261E-01  4.422502E-03
