NNPDF30_nnlo_as_0118	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
4.246196E-04	2.723905E+01	6.417265E+01	1.156623E-02	2.724896E-02
4.285485E-04	2.710589E+01	6.374318E+01	1.161619E-02	2.731705E-02
4.325138E-04	2.697343E+01	6.331923E+01	1.166638E-02	2.738644E-02
4.365158E-04	2.684168E+01	6.290057E+01	1.171682E-02	2.745710E-02
4.405549E-04	2.671063E+01	6.248698E+01	1.176750E-02	2.752894E-02
4.446313E-04	2.658028E+01	6.207824E+01	1.181843E-02	2.760192E-02
4.487454E-04	2.645065E+01	6.167411E+01	1.186961E-02	2.767597E-02
4.528976E-04	2.632172E+01	6.127439E+01	1.192104E-02	2.775102E-02
4.570882E-04	2.619336E+01	6.087957E+01	1.197267E-02	2.782733E-02
4.613176E-04	2.606534E+01	6.049072E+01	1.202440E-02	2.790543E-02
4.655861E-04	2.593769E+01	6.010785E+01	1.207623E-02	2.798538E-02
4.698941E-04	2.581042E+01	5.973089E+01	1.212817E-02	2.806719E-02
4.742420E-04	2.568357E+01	5.935980E+01	1.218023E-02	2.815091E-02
4.786301E-04	2.555714E+01	5.899452E+01	1.223242E-02	2.823655E-02
4.830588E-04	2.543116E+01	5.863496E+01	1.228474E-02	2.832413E-02
4.875285E-04	2.530564E+01	5.828105E+01	1.233722E-02	2.841367E-02
4.920395E-04	2.518061E+01	5.793269E+01	1.238986E-02	2.850517E-02
4.965923E-04	2.505608E+01	5.758977E+01	1.244266E-02	2.859864E-02
5.011872E-04	2.493208E+01	5.725218E+01	1.249564E-02	2.869406E-02
5.058247E-04	2.480860E+01	5.691980E+01	1.254880E-02	2.879144E-02
5.105050E-04	2.468568E+01	5.659247E+01	1.260216E-02	2.889074E-02
5.152286E-04	2.456333E+01	5.627006E+01	1.265573E-02	2.899195E-02
5.199960E-04	2.444155E+01	5.595241E+01	1.270951E-02	2.909503E-02
5.248075E-04	2.432037E+01	5.563935E+01	1.276351E-02	2.919994E-02
5.296634E-04	2.419980E+01	5.533070E+01	1.281775E-02	2.930665E-02
5.345644E-04	2.407984E+01	5.502628E+01	1.287223E-02	2.941509E-02
5.395106E-04	2.396052E+01	5.472591E+01	1.292696E-02	2.952521E-02
5.445027E-04	2.384184E+01	5.442937E+01	1.298195E-02	2.963694E-02
5.495409E-04	2.372381E+01	5.413648E+01	1.303721E-02	2.975021E-02
5.546257E-04	2.360645E+01	5.384701E+01	1.309275E-02	2.986494E-02
5.597576E-04	2.348976E+01	5.356075E+01	1.314857E-02	2.998104E-02
5.649370E-04	2.337376E+01	5.327750E+01	1.320470E-02	3.009843E-02
5.701643E-04	2.325845E+01	5.299701E+01	1.326114E-02	3.021700E-02
5.754399E-04	2.314384E+01	5.271908E+01	1.331789E-02	3.033666E-02
5.807644E-04	2.302993E+01	5.244347E+01	1.337497E-02	3.045730E-02
5.861382E-04	2.291675E+01	5.216996E+01	1.343238E-02	3.057881E-02
5.915616E-04	2.280428E+01	5.189833E+01	1.349014E-02	3.070106E-02
5.970353E-04	2.269255E+01	5.162835E+01	1.354825E-02	3.082395E-02
6.025596E-04	2.258155E+01	5.135981E+01	1.360673E-02	3.094734E-02
6.081350E-04	2.247129E+01	5.109247E+01	1.366558E-02	3.107112E-02
6.137620E-04	2.236178E+01	5.082614E+01	1.372481E-02	3.119515E-02
6.194411E-04	2.225302E+01	5.056058E+01	1.378444E-02	3.131930E-02
6.251727E-04	2.214502E+01	5.029561E+01	1.384446E-02	3.144344E-02
6.309573E-04	2.203778E+01	5.003101E+01	1.390490E-02	3.156743E-02
6.367955E-04	2.193130E+01	4.976660E+01	1.396575E-02	3.169115E-02
6.426877E-04	2.182559E+01	4.950219E+01	1.402704E-02	3.181445E-02
6.486344E-04	2.172065E+01	4.923759E+01	1.408876E-02	3.193720E-02
6.546362E-04	2.161648E+01	4.897264E+01	1.415093E-02	3.205926E-02
6.606934E-04	2.151307E+01	4.870743E+01	1.421354E-02	3.218068E-02
6.668068E-04	2.141018E+01	4.844357E+01	1.427646E-02	3.230250E-02
6.729767E-04	2.130780E+01	4.818130E+01	1.433965E-02	3.242489E-02
6.792036E-04	2.120591E+01	4.792051E+01	1.440313E-02	3.254779E-02
6.854882E-04	2.110452E+01	4.766110E+01	1.446690E-02	3.267112E-02
6.918310E-04	2.100363E+01	4.740297E+01	1.453096E-02	3.279485E-02
6.982324E-04	2.090325E+01	4.714604E+01	1.459533E-02	3.291889E-02
7.046931E-04	2.080338E+01	4.689023E+01	1.466000E-02	3.304322E-02
7.112135E-04	2.070401E+01	4.663547E+01	1.472497E-02	3.316778E-02
7.177943E-04	2.060515E+01	4.638169E+01	1.479026E-02	3.329251E-02
7.244360E-04	2.050681E+01	4.612883E+01	1.485587E-02	3.341739E-02
7.311391E-04	2.040897E+01	4.587685E+01	1.492180E-02	3.354236E-02
7.379042E-04	2.031165E+01	4.562568E+01	1.498806E-02	3.366738E-02
7.447320E-04	2.021485E+01	4.537528E+01	1.505464E-02	3.379242E-02
7.516229E-04	2.011856E+01	4.512561E+01	1.512157E-02	3.391744E-02
7.585776E-04	2.002278E+01	4.487663E+01	1.518884E-02	3.404240E-02
7.655966E-04	1.992753E+01	4.462830E+01	1.525645E-02	3.416727E-02
7.726806E-04	1.983279E+01	4.438059E+01	1.532441E-02	3.429202E-02
7.798301E-04	1.973856E+01	4.413348E+01	1.539273E-02	3.441661E-02
7.870458E-04	1.964486E+01	4.388693E+01	1.546140E-02	3.454102E-02
7.943282E-04	1.955167E+01	4.364091E+01	1.553044E-02	3.466521E-02
8.016781E-04	1.945900E+01	4.339542E+01	1.559985E-02	3.478916E-02
8.090959E-04	1.936684E+01	4.315042E+01	1.566963E-02	3.491283E-02
8.165824E-04	1.927521E+01	4.290590E+01	1.573979E-02	3.503620E-02
8.241381E-04	1.918409E+01	4.266185E+01	1.581034E-02	3.515926E-02
8.317638E-04	1.909348E+01	4.241825E+01	1.588127E-02	3.528196E-02
8.394600E-04	1.900339E+01	4.217509E+01	1.595259E-02	3.540430E-02
8.472274E-04	1.891382E+01	4.193236E+01	1.602431E-02	3.552625E-02
8.550667E-04	1.882476E+01	4.169007E+01	1.609643E-02	3.564779E-02
8.629785E-04	1.873622E+01	4.144820E+01	1.616895E-02	3.576891E-02
8.709636E-04	1.864818E+01	4.120676E+01	1.624189E-02	3.588958E-02
8.790225E-04	1.856066E+01	4.096574E+01	1.631524E-02	3.600981E-02
8.871560E-04	1.847365E+01	4.072516E+01	1.638901E-02	3.612957E-02
8.953648E-04	1.838715E+01	4.048501E+01	1.646320E-02	3.624886E-02
9.036495E-04	1.830115E+01	4.024533E+01	1.653783E-02	3.636767E-02
9.120108E-04	1.821566E+01	4.000610E+01	1.661288E-02	3.648600E-02
9.204496E-04	1.813068E+01	3.976736E+01	1.668838E-02	3.660385E-02
9.289664E-04	1.804620E+01	3.952912E+01	1.676432E-02	3.672123E-02
9.375620E-04	1.796223E+01	3.929141E+01	1.684070E-02	3.683814E-02
9.462372E-04	1.787875E+01	3.905426E+01	1.691754E-02	3.695459E-02
9.549926E-04	1.779577E+01	3.881769E+01	1.699483E-02	3.707061E-02
9.638290E-04	1.771317E+01	3.858238E+01	1.707247E-02	3.718682E-02
9.727472E-04	1.763084E+01	3.834885E+01	1.715035E-02	3.730374E-02
9.817479E-04	1.754881E+01	3.811708E+01	1.722850E-02	3.742136E-02
9.908319E-04	1.746707E+01	3.788702E+01	1.730693E-02	3.753967E-02
1.000000E-03	1.738565E+01	3.765866E+01	1.738565E-02	3.765866E-02
1.009253E-03	1.730454E+01	3.743197E+01	1.746466E-02	3.777832E-02
1.018591E-03	1.722377E+01	3.720691E+01	1.754399E-02	3.789864E-02
1.028016E-03	1.714334E+01	3.698347E+01	1.762364E-02	3.801961E-02
1.037528E-03	1.706326E+01	3.676160E+01	1.770362E-02	3.814121E-02
1.047129E-03	1.698354E+01	3.654128E+01	1.778395E-02	3.826342E-02
1.056818E-03	1.690419E+01	3.632247E+01	1.786464E-02	3.838622E-02
1.066596E-03	1.682521E+01	3.610513E+01	1.794570E-02	3.850959E-02
1.076465E-03	1.674661E+01	3.588923E+01	1.802714E-02	3.863351E-02
1.086426E-03	1.666840E+01	3.567473E+01	1.810898E-02	3.875794E-02
1.096478E-03	1.659059E+01	3.546158E+01	1.819122E-02	3.888285E-02
1.106624E-03	1.651318E+01	3.524974E+01	1.827388E-02	3.900820E-02
1.116863E-03	1.643618E+01	3.503917E+01	1.835697E-02	3.913397E-02
1.127197E-03	1.635960E+01	3.482983E+01	1.844050E-02	3.926009E-02
1.137627E-03	1.628343E+01	3.462165E+01	1.852448E-02	3.938654E-02
1.148154E-03	1.620769E+01	3.441460E+01	1.860892E-02	3.951325E-02
1.158777E-03	1.613239E+01	3.420863E+01	1.869385E-02	3.964019E-02
1.169499E-03	1.605752E+01	3.400369E+01	1.877925E-02	3.976729E-02
1.180321E-03	1.598308E+01	3.379972E+01	1.886516E-02	3.989450E-02
1.191242E-03	1.590910E+01	3.359667E+01	1.895159E-02	4.002177E-02
1.202264E-03	1.583556E+01	3.339451E+01	1.903853E-02	4.014903E-02
1.213389E-03	1.576247E+01	3.319317E+01	1.912601E-02	4.027622E-02
1.224616E-03	1.568984E+01	3.299261E+01	1.921403E-02	4.040328E-02
1.235947E-03	1.561767E+01	3.279278E+01	1.930262E-02	4.053015E-02
1.247384E-03	1.554596E+01	3.259364E+01	1.939177E-02	4.065677E-02
1.258925E-03	1.547471E+01	3.239514E+01	1.948151E-02	4.078306E-02
1.270574E-03	1.540394E+01	3.219724E+01	1.957184E-02	4.090898E-02
1.282331E-03	1.533363E+01	3.199991E+01	1.966278E-02	4.103447E-02
1.294196E-03	1.526379E+01	3.180311E+01	1.975433E-02	4.115945E-02
1.306171E-03	1.519442E+01	3.160680E+01	1.984652E-02	4.128388E-02
1.318257E-03	1.512554E+01	3.141095E+01	1.993934E-02	4.140770E-02
1.330454E-03	1.505712E+01	3.121555E+01	2.003282E-02	4.153087E-02
1.342765E-03	1.498919E+01	3.102057E+01	2.012696E-02	4.165333E-02
1.355189E-03	1.492173E+01	3.082599E+01	2.022177E-02	4.177505E-02
1.367729E-03	1.485476E+01	3.063180E+01	2.031728E-02	4.189600E-02
1.380384E-03	1.478826E+01	3.043800E+01	2.041349E-02	4.201614E-02
1.393157E-03	1.472222E+01	3.024469E+01	2.051037E-02	4.213560E-02
1.406048E-03	1.465655E+01	3.005233E+01	2.060781E-02	4.225500E-02
1.419058E-03	1.459123E+01	2.986108E+01	2.070580E-02	4.237459E-02
1.432188E-03	1.452626E+01	2.967109E+01	2.080434E-02	4.249458E-02
1.445440E-03	1.446164E+01	2.948249E+01	2.090343E-02	4.261517E-02
1.458814E-03	1.439736E+01	2.929540E+01	2.100307E-02	4.273654E-02
1.472313E-03	1.433341E+01	2.910992E+01	2.110326E-02	4.285890E-02
1.485936E-03	1.426981E+01	2.892615E+01	2.120401E-02	4.298240E-02
1.499685E-03	1.420653E+01	2.874419E+01	2.130531E-02	4.310723E-02
1.513561E-03	1.414357E+01	2.856410E+01	2.140717E-02	4.323352E-02
1.527566E-03	1.408095E+01	2.838595E+01	2.150958E-02	4.336142E-02
1.541700E-03	1.401864E+01	2.820979E+01	2.161254E-02	4.349105E-02
1.555966E-03	1.395665E+01	2.803566E+01	2.171606E-02	4.362252E-02
1.570363E-03	1.389497E+01	2.786357E+01	2.182014E-02	4.375592E-02
1.584893E-03	1.383360E+01	2.769355E+01	2.192477E-02	4.389132E-02
1.599558E-03	1.377253E+01	2.752559E+01	2.202996E-02	4.402877E-02
1.614359E-03	1.371177E+01	2.735968E+01	2.213572E-02	4.416833E-02
1.629296E-03	1.365131E+01	2.719579E+01	2.224203E-02	4.431000E-02
1.644372E-03	1.359115E+01	2.703390E+01	2.234890E-02	4.445378E-02
1.659587E-03	1.353128E+01	2.687396E+01	2.245633E-02	4.459967E-02
1.674943E-03	1.347170E+01	2.671591E+01	2.256432E-02	4.474762E-02
1.690441E-03	1.341240E+01	2.655969E+01	2.267287E-02	4.489758E-02
1.706082E-03	1.335339E+01	2.640522E+01	2.278199E-02	4.504948E-02
1.721869E-03	1.329467E+01	2.625242E+01	2.289167E-02	4.520322E-02
1.737801E-03	1.323622E+01	2.610121E+01	2.300192E-02	4.535871E-02
1.753881E-03	1.317805E+01	2.595149E+01	2.311272E-02	4.551581E-02
1.770109E-03	1.312015E+01	2.580315E+01	2.322410E-02	4.567439E-02
1.786488E-03	1.306252E+01	2.565609E+01	2.333604E-02	4.583429E-02
1.803018E-03	1.300517E+01	2.551020E+01	2.344854E-02	4.599535E-02
1.819701E-03	1.294807E+01	2.536536E+01	2.356162E-02	4.615738E-02
1.836538E-03	1.289124E+01	2.522146E+01	2.367526E-02	4.632018E-02
1.853532E-03	1.283467E+01	2.507837E+01	2.378947E-02	4.648356E-02
1.870682E-03	1.277836E+01	2.493598E+01	2.390425E-02	4.664729E-02
1.887991E-03	1.272230E+01	2.479416E+01	2.401960E-02	4.681116E-02
1.905461E-03	1.266650E+01	2.465279E+01	2.413552E-02	4.697492E-02
1.923092E-03	1.261095E+01	2.451175E+01	2.425201E-02	4.713834E-02
1.940886E-03	1.255564E+01	2.437092E+01	2.436907E-02	4.730118E-02
1.958845E-03	1.250059E+01	2.423019E+01	2.448671E-02	4.746318E-02
1.976970E-03	1.244577E+01	2.408945E+01	2.460492E-02	4.762411E-02
1.995262E-03	1.239120E+01	2.394858E+01	2.472370E-02	4.778370E-02
2.013724E-03	1.233687E+01	2.380753E+01	2.484305E-02	4.794180E-02
2.032357E-03	1.228274E+01	2.366714E+01	2.496291E-02	4.810007E-02
2.051162E-03	1.222880E+01	2.352773E+01	2.508326E-02	4.825920E-02
2.070141E-03	1.217506E+01	2.338927E+01	2.520409E-02	4.841909E-02
2.089296E-03	1.212151E+01	2.325168E+01	2.532542E-02	4.857965E-02
2.108628E-03	1.206816E+01	2.311494E+01	2.544726E-02	4.874080E-02
2.128139E-03	1.201501E+01	2.297898E+01	2.556960E-02	4.890246E-02
2.147830E-03	1.196206E+01	2.284376E+01	2.569247E-02	4.906453E-02
2.167704E-03	1.190931E+01	2.270925E+01	2.581586E-02	4.922694E-02
2.187762E-03	1.185676E+01	2.257541E+01	2.593977E-02	4.938961E-02
2.208005E-03	1.180443E+01	2.244219E+01	2.606423E-02	4.955247E-02
2.228435E-03	1.175230E+01	2.230957E+01	2.618923E-02	4.971543E-02
2.249055E-03	1.170038E+01	2.217751E+01	2.631479E-02	4.987843E-02
2.269865E-03	1.164866E+01	2.204597E+01	2.644090E-02	5.004137E-02
2.290868E-03	1.159716E+01	2.191493E+01	2.656757E-02	5.020420E-02
2.312065E-03	1.154588E+01	2.178435E+01	2.669482E-02	5.036682E-02
2.333458E-03	1.149480E+01	2.165420E+01	2.682264E-02	5.052917E-02
