MMHT2014nnlo68cl	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
3.631463E-01	9.746313E-01	3.094186E-02	3.539338E-01	1.123642E-02
3.651303E-01	9.663439E-01	3.079531E-02	3.528414E-01	1.124430E-02
3.671142E-01	9.580960E-01	3.064807E-02	3.517307E-01	1.125134E-02
3.690982E-01	9.498879E-01	3.050006E-02	3.506019E-01	1.125752E-02
3.710822E-01	9.417196E-01	3.035123E-02	3.494553E-01	1.126280E-02
3.730661E-01	9.335912E-01	3.020148E-02	3.482913E-01	1.126715E-02
3.750501E-01	9.255029E-01	3.005076E-02	3.471100E-01	1.127054E-02
3.770341E-01	9.174521E-01	2.989906E-02	3.459107E-01	1.127296E-02
3.790180E-01	9.094368E-01	2.974645E-02	3.446930E-01	1.127444E-02
3.810020E-01	9.014577E-01	2.959293E-02	3.434572E-01	1.127497E-02
3.829860E-01	8.935155E-01	2.943852E-02	3.422039E-01	1.127454E-02
3.849699E-01	8.856105E-01	2.928320E-02	3.409334E-01	1.127315E-02
3.869539E-01	8.777434E-01	2.912696E-02	3.396462E-01	1.127079E-02
3.889379E-01	8.699145E-01	2.896981E-02	3.383427E-01	1.126745E-02
3.909218E-01	8.621244E-01	2.881172E-02	3.370233E-01	1.126313E-02
3.929058E-01	8.543734E-01	2.865267E-02	3.356883E-01	1.125780E-02
3.948898E-01	8.466619E-01	2.849266E-02	3.343381E-01	1.125146E-02
3.968737E-01	8.389903E-01	2.833165E-02	3.329732E-01	1.124409E-02
3.988577E-01	8.313589E-01	2.816962E-02	3.315939E-01	1.123567E-02
4.008417E-01	8.237672E-01	2.800657E-02	3.302002E-01	1.122620E-02
4.028257E-01	8.162106E-01	2.784267E-02	3.287906E-01	1.121574E-02
