# MMHT2014 NNLO Q=1.000
# x  w(x)  delta_w(x)
3.837072E-03  1.633723E-03  7.377372E-04
3.872576E-03  1.651674E-03  7.409263E-04
3.908409E-03  1.663055E-03  7.442051E-04
3.944573E-03  1.683507E-03  7.454207E-04
3.981072E-03  1.706224E-03  7.568022E-04
4.017908E-03  1.716093E-03  7.577604E-04
4.055085E-03  1.747592E-03  7.750569E-04
4.092607E-03  1.755532E-03  7.700895E-04
4.130475E-03  1.776351E-03  7.848136E-04
4.168694E-03  1.804320E-03  7.948092E-04
4.207266E-03  1.815942E-03  7.944847E-04
4.246196E-03  1.843101E-03  8.043021E-04
4.285485E-03  1.859682E-03  8.117649E-04
4.325138E-03  1.879530E-03  8.197043E-04
4.365158E-03  1.891362E-03  8.150579E-04
4.405549E-03  1.921023E-03  8.309389E-04
4.446313E-03  1.936509E-03  8.299531E-04
4.487454E-03  1.962181E-03  8.438040E-04
4.528976E-03  1.976320E-03  8.461070E-04
4.570882E-03  2.017747E-03  8.647449E-04
4.613176E-03  2.035616E-03  8.673336E-04
4.655861E-03  2.054783E-03  8.800206E-04
4.698941E-03  2.078259E-03  8.863562E-04
4.742420E-03  2.099049E-03  8.838050E-04
4.786301E-03  2.124977E-03  8.996647E-04
4.830588E-03  2.141416E-03  9.027972E-04
4.875285E-03  2.161889E-03  9.026720E-04
4.920395E-03  2.183633E-03  9.116933E-04
4.965923E-03  2.211892E-03  9.163764E-04
5.011872E-03  2.239299E-03  9.283258E-04
5.058247E-03  2.265780E-03  9.380358E-04
5.105050E-03  2.291653E-03  9.461011E-04
5.152286E-03  2.311836E-03  9.518937E-04
5.199960E-03  2.342970E-03  9.632300E-04
5.248075E-03  2.371060E-03  9.704701E-04
5.296634E-03  2.388443E-03  9.726614E-04
5.345644E-03  2.421721E-03  9.778771E-04
5.395106E-03  2.443923E-03  9.913517E-04
5.445027E-03  2.468222E-03  9.918353E-04
5.495409E-03  2.497265E-03  1.009411E-03
5.546257E-03  2.516897E-03  1.001820E-03
5.597576E-03  2.550760E-03  1.020728E-03
5.649370E-03  2.584333E-03  1.030460E-03
5.701643E-03  2.604169E-03  1.034820E-03
5.754399E-03  2.637009E-03  1.037871E-03
5.807644E-03  2.662558E-03  1.043663E-03
5.861382E-03  2.686829E-03  1.054494E-03
5.915616E-03  2.722686E-03  1.068617E-03
5.970353E-03  2.744900E-03  1.068947E-03
6.025596E-03  2.778715E-03  1.080772E-03
6.081350E-03  2.817319E-03  1.099680E-03
6.137620E-03  2.839820E-03  1.105104E-03
6.194411E-03  2.873098E-03  1.115800E-03
6.251727E-03  2.906438E-03  1.118241E-03
6.309573E-03  2.945250E-03  1.140234E-03
6.367955E-03  2.961730E-03  1.134910E-03
6.426877E-03  2.997096E-03  1.138153E-03
6.486344E-03  3.019272E-03  1.144398E-03
6.546362E-03  3.056996E-03  1.166065E-03
6.606934E-03  3.090676E-03  1.168042E-03
6.668068E-03  3.132432E-03  1.184011E-03
6.729767E-03  3.162120E-03  1.190157E-03
6.792036E-03  3.211043E-03  1.208503E-03
