NNPDFpol 1.1, Q = 3.162 GeV
x	 x(uv-dv)	 error
3.801894E-03	 2.518851E-02	 2.111649E-02
3.837072E-03	 2.533244E-02	 2.117096E-02
3.872576E-03	 2.547731E-02	 2.122572E-02
3.908409E-03	 2.562318E-02	 2.128073E-02
3.944573E-03	 2.577005E-02	 2.133601E-02
3.981072E-03	 2.591798E-02	 2.139153E-02
4.017908E-03	 2.606699E-02	 2.144729E-02
4.055085E-03	 2.621710E-02	 2.150328E-02
4.092607E-03	 2.636836E-02	 2.155949E-02
4.130475E-03	 2.652080E-02	 2.161591E-02
4.168694E-03	 2.667444E-02	 2.167254E-02
4.207266E-03	 2.682932E-02	 2.172935E-02
4.246196E-03	 2.698548E-02	 2.178635E-02
4.285485E-03	 2.714294E-02	 2.184353E-02
4.325138E-03	 2.730173E-02	 2.190088E-02
4.365158E-03	 2.746189E-02	 2.195839E-02
4.405549E-03	 2.762326E-02	 2.201615E-02
4.446313E-03	 2.778567E-02	 2.207422E-02
4.487454E-03	 2.794916E-02	 2.213262E-02
4.528976E-03	 2.811374E-02	 2.219134E-02
4.570882E-03	 2.827944E-02	 2.225038E-02
4.613176E-03	 2.844628E-02	 2.230976E-02
4.655861E-03	 2.861430E-02	 2.236946E-02
4.698941E-03	 2.878350E-02	 2.242949E-02
4.742420E-03	 2.895393E-02	 2.248986E-02
4.786301E-03	 2.912560E-02	 2.255056E-02
4.830588E-03	 2.929855E-02	 2.261160E-02
4.875285E-03	 2.947278E-02	 2.267299E-02
4.920395E-03	 2.964833E-02	 2.273471E-02
4.965923E-03	 2.982523E-02	 2.279679E-02
5.011872E-03	 3.000349E-02	 2.285921E-02
5.058247E-03	 3.018315E-02	 2.292198E-02
5.105050E-03	 3.036422E-02	 2.298511E-02
5.152286E-03	 3.054674E-02	 2.304860E-02
5.199960E-03	 3.073073E-02	 2.311246E-02
5.248075E-03	 3.091620E-02	 2.317668E-02
5.296634E-03	 3.110293E-02	 2.324133E-02
5.345644E-03	 3.129067E-02	 2.330650E-02
5.395106E-03	 3.147949E-02	 2.337219E-02
5.445027E-03	 3.166946E-02	 2.343839E-02
5.495409E-03	 3.186062E-02	 2.350511E-02
5.546257E-03	 3.205303E-02	 2.357235E-02
5.597576E-03	 3.224676E-02	 2.364011E-02
5.649370E-03	 3.244185E-02	 2.370839E-02
5.701643E-03	 3.263838E-02	 2.377719E-02
5.754399E-03	 3.283639E-02	 2.384651E-02
5.807644E-03	 3.303595E-02	 2.391634E-02
5.861382E-03	 3.323711E-02	 2.398668E-02
5.915616E-03	 3.343994E-02	 2.405752E-02
5.970353E-03	 3.364448E-02	 2.412887E-02
6.025596E-03	 3.385081E-02	 2.420072E-02
6.081350E-03	 3.405896E-02	 2.427306E-02
6.137620E-03	 3.426902E-02	 2.434588E-02
6.194411E-03	 3.448102E-02	 2.441918E-02
