NNPDFpol 1.1, Q = 1.581 GeV
x	 x(uv-dv)	 error	 x(u+-d+)	 error
1.393157E-03	 1.088523E-02	 1.683352E-02	 2.906237E-02	 2.036515E-02
1.406048E-03	 1.093592E-02	 1.684806E-02	 2.914075E-02	 2.038776E-02
1.419058E-03	 1.098691E-02	 1.686302E-02	 2.921952E-02	 2.041033E-02
1.432188E-03	 1.103825E-02	 1.687842E-02	 2.929870E-02	 2.043283E-02
1.445440E-03	 1.108998E-02	 1.689425E-02	 2.937830E-02	 2.045523E-02
1.458814E-03	 1.114192E-02	 1.691051E-02	 2.945827E-02	 2.047765E-02
1.472313E-03	 1.119384E-02	 1.692716E-02	 2.953856E-02	 2.050022E-02
1.485936E-03	 1.124578E-02	 1.694421E-02	 2.961917E-02	 2.052292E-02
1.499685E-03	 1.129776E-02	 1.696168E-02	 2.970011E-02	 2.054576E-02
1.513561E-03	 1.134979E-02	 1.697956E-02	 2.978139E-02	 2.056872E-02
1.527566E-03	 1.140189E-02	 1.699786E-02	 2.986301E-02	 2.059179E-02
1.541700E-03	 1.145410E-02	 1.701658E-02	 2.994498E-02	 2.061496E-02
1.555966E-03	 1.150642E-02	 1.703574E-02	 3.002730E-02	 2.063821E-02
1.570363E-03	 1.155888E-02	 1.705531E-02	 3.011000E-02	 2.066154E-02
1.584893E-03	 1.161151E-02	 1.707531E-02	 3.019306E-02	 2.068493E-02
1.599558E-03	 1.166432E-02	 1.709573E-02	 3.027650E-02	 2.070838E-02
1.614359E-03	 1.171733E-02	 1.711657E-02	 3.036033E-02	 2.073187E-02
1.629296E-03	 1.177057E-02	 1.713781E-02	 3.044455E-02	 2.075540E-02
1.644372E-03	 1.182406E-02	 1.715945E-02	 3.052917E-02	 2.077894E-02
1.659587E-03	 1.187782E-02	 1.718149E-02	 3.061420E-02	 2.080250E-02
1.674943E-03	 1.193187E-02	 1.720390E-02	 3.069965E-02	 2.082605E-02
1.690441E-03	 1.198623E-02	 1.722667E-02	 3.078551E-02	 2.084959E-02
1.706082E-03	 1.204092E-02	 1.724980E-02	 3.087180E-02	 2.087311E-02
1.721869E-03	 1.209597E-02	 1.727326E-02	 3.095853E-02	 2.089659E-02
1.737801E-03	 1.215140E-02	 1.729704E-02	 3.104570E-02	 2.092003E-02
1.753881E-03	 1.220705E-02	 1.732107E-02	 3.113324E-02	 2.094347E-02
