Q2,q4f1d,q4f1dA,q4f1dB,q4f1u,q4f1uA,q4f1uB,q6f2d,q6f2dA,q6f2dB,q6f2u,q6f2uA,q6f2uB
5.6571314262852574,0.13863044373987843,0.11297068426372144,0.15760006672658036,1.1979466856141434,1.173514556072751,1.190028901996186,-2.025214947976814,-1.8405395422507744,-2.141808881330357,1.9079261857793866,1.8108034935640294,1.7674699575961597
5.6651330266053215,0.13852669662462794,0.11284771272229345,0.15750677912568234,1.1984642831108916,1.1740037882284982,1.1905370039783794,-2.0268463293431243,-1.8417342567116641,-2.1436715287669488,1.9095886622225546,1.8122101941117186,1.7690089868178431
5.6731346269253855,0.13842306421057657,0.11272494588574862,0.15741354885753692,1.1989808131483046,1.174492045991579,1.1910440168480707,-2.02847496693439,-1.8429265028991804,-2.1455311853404218,1.911248493493535,1.8136144100581393,1.770545546518283
5.6811362272454495,0.13831954654340775,0.11260238351472028,0.15732037618137273,1.199496279074828,1.1749793324481883,1.1915499440804762,-2.0301008675480032,-1.8441162884921893,-2.147387857712795,1.912905685562339,1.8150161479688447,1.7720796421902916
5.689137827565514,0.1382161436665584,0.1124800253682855,0.15722726135346174,1.2000106842247331,1.1754656506708565,1.1920547891361801,-2.031724037960677,-1.8453036211407408,-2.1492415525291566,1.9145602443832628,1.8164154143882947,1.7736112793127587
5.697139427885577,0.13811285562124437,0.11235787120398988,0.1571342046271407,1.2005240319181893,1.175951003718528,1.1925585554611795,-2.033344484928518,-1.8464885084661833,-2.151092276417643,1.916212175894934,1.8178122158399186,1.7751404633506394
5.705141028205641,0.13800968244648187,0.1122359207778703,0.1570412062528386,1.2010363254613474,1.1764353946366386,1.1930612464869799,-2.034962215187066,-1.84767095806125,-2.1529400359895,1.9178614860203247,1.819206558826161,1.7766671997550068
5.713142628525705,0.13790662417911317,0.11211417384448003,0.15694826647810173,1.201547568146406,1.176918826457189,1.1935628656306683,-2.0365772354513814,-1.8488509774901813,-2.1547848378391277,1.919508180666805,1.820598449828558,1.7781914939630774
5.721144228845769,0.13780368085382794,0.11199263015691385,0.1568553855476171,1.202057763251688,1.1774013021988243,1.1940634162949821,-2.0381895524160885,-1.8500285742888647,-2.1566266885440855,1.9211522657261633,1.8219878953078275,1.77971335139823
5.729145829165833,0.13770085250318753,0.11187128946683021,0.15676256370323735,1.2025669140417186,1.1778828248669078,1.1945629018683834,-2.0397991727554463,-1.8512037559649113,-2.1584655946651417,1.922793747074648,1.8233749017039103,1.781232777470032
5.737147429485897,0.13759813915764674,0.11175015152447426,0.15666980118400609,1.2030750237672914,1.178363397453596,1.1950613257251423,-2.041406103123405,-1.8523765299977704,-2.160301562746317,1.9244326305729922,1.8247594754360308,1.7827497775742867
5.745149029805961,0.1374955408455784,0.11162921607870291,0.15657709822618,1.2035820956655463,1.1788430229379103,1.1955586912253948,-2.043010350153694,-1.8535469038388672,-2.1621345993148955,1.9260689220664766,1.8261416229027982,1.7842643570930339
5.753150630126025,0.1373930575932945,0.11150848287700629,0.1564844550632557,1.204088132960037,1.1793217042858175,1.1960550017152403,-2.0446119204598645,-1.854714884911689,-2.163964710881499,1.927702627384945,1.827521350482245,1.7857765213946122
5.761152230446089,0.13729068942506725,0.11138795166552981,0.15639187192599008,1.2045931388608082,1.1797994444502946,1.196550260526785,-2.0462108206353378,-1.8558804806118916,-2.165791903940075,1.9293337523428231,1.8288986645318892,1.7872862758336545
5.769153830766153,0.13718843636315314,0.1112676221890989,0.15629934904242673,1.2050971165644626,1.1802762463714085,1.1970444709782426,-2.0478070572534994,-1.8570436983074383,-2.1676161849679763,1.930962302739186,1.8302735713888323,1.7887936257511439
5.777155431086217,0.13708629842781275,0.11114749419123895,0.15620688663791632,1.205600069254233,1.1807521129763858,1.1975376363739756,-2.049400636867735,-1.8582045453386846,-2.169437560425949,1.9325882843577686,1.8316460773697987,1.7902985764744141
5.785157031406281,0.13698427563733448,0.11102756741419714,0.15611448493514227,1.2061020001000529,1.181227047179682,1.1980297600045966,-2.0509915660115157,-1.8593630290184744,-2.1712560367582134,1.934211702967021,1.8330161887711927,1.791801133317205
5.793158631726345,0.13688236800805456,0.11090784159896729,0.15602214415414142,1.206602912258627,1.1817010518830589,1.1985208451470153,-2.0525798511984523,-1.860519156632308,-2.173071620392462,1.935832564320136,1.834383911869219,1.793301301579669
5.801160232046409,0.13678057555437742,0.11078831648530661,0.15592986451232843,1.2071028088734987,1.1821741299756487,1.1990108950645242,-2.0541654989223423,-1.8616729354383756,-2.174884317739923,1.9374508741550713,1.8357492529198767,1.794799086548418
5.809161832366473,0.13667889828879778,0.11066899181175957,0.15583764622451776,1.207601693075121,1.1826462843340295,1.1994999130068629,-2.055748515657247,-1.8628243726677018,-2.1766941351953837,1.9390666381945996,1.8371122181590636,1.7962944934965457
5.817163432686537,0.13657733622192103,0.11054986731568053,0.15574548950294598,1.2080995679809237,1.183117517822294,1.1999879022102935,-2.0573289078575483,-1.8639734755242847,-2.1785010791372317,1.9406798621463373,1.8384728138026682,1.7977875276836601
5.825165033006601,0.1364758893624843,0.11043094273325019,0.15565339455729282,1.2085964366953834,1.1835878332921173,1.2004748658976578,-2.0589066819580246,-1.8651202511851368,-2.1803051559274778,1.942290551702795,1.8398310460465719,1.7992781943559
5.833166633326665,0.13637455771737655,0.11031221779949861,0.15556136159470396,1.2090923023100903,1.1840572335828266,1.2009608072784514,-2.060481844373902,-1.866264706800425,-2.1821063719117935,1.9438987125414031,1.8411869210667504,1.8007664987459684
5.841168233646729,0.13627334129165714,0.11019369224832719,0.15546939081981317,1.209587167903812,1.184525721521472,1.2014457295488994,-2.0620544015008986,-1.8674068494936116,-2.183904733419567,1.9455043503245286,1.8425404450193668,1.8022524460731777
5.849169833966793,0.13617224008857742,0.1100753658125248,0.15537748243476235,1.2100810365425696,1.1849932999228914,1.2019296358920102,-2.063624359715306,-1.868546686361494,-2.185700246763908,1.9471074706995326,1.8438916240407772,1.8037360415434511
5.857171434286857,0.13607125410960044,0.10995723822378956,0.15528563663922526,1.2105739112796938,1.185459971589778,1.2024125294776629,-2.0651917253740533,-1.869684224474342,-2.187492918241722,1.948708079298809,1.845240464247624,1.8052172903493882
5.865173034606921,0.13597038335442008,0.10983930921275066,0.1551938536304258,1.2110657951558947,1.1859257393127527,1.2028944134626507,-2.0667565048147627,-1.87081947087604,-2.189282754133702,1.9503061817398089,1.846586971736936,1.806696197670253
5.873174634926985,0.13586962782098108,0.10972157850898345,0.15510213360316175,1.2115566911993325,1.1863906058704248,1.203375290990773,-2.0683187043558187,-1.8719524325841204,-2.191069760704412,1.951901783625092,1.8479311525861253,1.8081727686720435
5.881176235247049,0.1357689875054962,0.10960404584103088,0.15501047674982282,1.2120466024256757,1.1868545740294596,1.2038551651928733,-2.069878330296401,-1.8730831165899082,-2.192853944202272,1.9534948905423304,1.8492730128530896,1.809647008507483
5.889177835567113,0.1356684624024667,0.10948671093642436,0.15491888326041364,1.2125355318381683,1.187317646544647,1.2043340391869308,-2.0714353889165644,-1.8742115298586528,-2.194635310859638,1.9550855080643645,1.8506125585763047,1.8111189223160815
5.897179435887177,0.13556805250470252,0.10936957352169827,0.15482735332257233,1.2130234824276962,1.1877798261589647,1.2048119160781081,-2.0729898864773255,-1.875337679329563,-2.196413866892807,1.9566736417492612,1.8519497957748203,1.8125885152241383
5.905181036207241,0.13546775780333767,0.10925263332241186,0.15473588712159195,1.2135104571728474,1.1882411156036432,1.2052887989588257,-2.0745418292206725,-1.8764615719159703,-2.198189618502074,1.9582592971403054,1.8532847304483815,1.8140557923447942
5.9131826365273055,0.13536757828785204,0.10913589006316703,0.15464448484044052,1.2139964590399803,1.1887015175982303,1.205764690908827,-2.0760912233696733,-1.8775832145054139,-2.1999625718717617,1.959842479766077,1.8546173685774805,1.8155207587780502
5.9211842368473695,0.1352675139460866,0.10901934346762478,0.154553146659781,1.2144814909832828,1.189161034850657,1.2062395949952414,-2.077638075128495,-1.8787026139597234,-2.2017327331702594,1.9614231951404493,1.8559477161233935,1.816983419610805
5.9291858371674335,0.13516756476426292,0.10890299325852498,0.15446187275798987,1.214965555944837,1.1896196700572983,1.2067135142726426,-2.0791823906824836,-1.8798197771151484,-2.2035001085500494,1.9630014487626448,1.8572757790282775,1.8184437799168696
5.9371874374874976,0.13506773072700215,0.10878683915770432,0.1543706633111773,1.2154486568546823,1.1900774259030393,1.2071864517831128,-2.08072417619824,-1.880934710782463,-2.2052647041477433,1.964577246117284,1.8586015632152306,1.819901844757002
5.945189037807562,0.1349680118173413,0.10867088088611145,0.1542795184932075,1.2159307966308763,1.1905343050613357,1.2076584105563177,-2.0822634378236584,-1.8820474217470315,-2.2070265260841353,1.9661505926744025,1.8599250745883258,1.821357619178949
5.953190638127626,0.13486840801675085,0.10855511816382703,0.15418843847571623,1.2164119781795553,1.1909903101942783,1.208129393609551,-2.0838001816879865,-1.8831579167689496,-2.208785580464214,1.9677214938894854,1.86124631903271,1.8228111082174572
5.96119223844769,0.13476891930515233,0.1084395507100801,0.15409742342813235,1.2168922043949988,1.1914454439526538,1.2085994039478183,-2.085334413901891,-1.8842662025831354,-2.210541873377236,1.9692899552035097,1.8625653024146562,1.8242623168943293
5.969193838767754,0.1346695456609357,0.10832417824326368,0.1540064735176937,1.2173714781596892,1.191899708976005,1.2090684445638784,-2.086866140557512,-1.8853722858994075,-2.2122954108967154,1.9708559820429772,1.8638820305816088,1.8257112502184218
5.977195439087818,0.13457028706097682,0.10820900048095335,0.15391558890946874,1.2178498023443678,1.1923531078926966,1.209536518438323,-2.08839536772854,-1.8864761734026139,-2.2140461990805056,1.972419579819962,1.8651965093622715,1.8271579131857054
5.985197039407882,0.1344711434806545,0.10809401713992364,0.15382476976637238,1.218327179808105,1.1928056433199705,1.2100036285396194,-2.089922101470266,-1.8875778717527298,-2.215794243970793,1.973980753932144,1.8665087445666684,1.8286023107792635
5.993198639727946,0.13437211489386505,0.10797922793616273,0.15373401624918676,1.2188036133983497,1.1932573178640096,1.2104697778241873,-2.091446347819617,-1.8886773875849265,-2.217539551594169,1.9755395097628161,1.867818741986177,1.8300444479693505
6.00120024004801,0.13427320127304185,0.10786463258489068,0.1536433285165779,1.219279105950995,1.1937081341199984,1.2109349692364493,-2.0929681127952553,-1.8897747275097074,-2.2192821279616433,1.9770958526809617,1.869126507393626,1.8314843297134016
6.009201840368074,0.1341744025891691,0.10775023080057546,0.15355270672511442,1.2197536602904342,1.1941580946721784,1.2113992057088951,-2.094487402397597,-1.8908698981130048,-2.221021979068688,1.9786497880412541,1.8704320465433586,1.8329219609560703
6.017203440688138,0.13407571881180072,0.10763602229694608,0.15346215102928643,1.2202272792296223,1.1946072020939127,1.2118624901621466,-2.096004222608914,-1.8919629059562304,-2.2227591108952915,1.9802013211841298,1.871735365171242,1.8343573466292704
6.025205041008202,0.13397714990907497,0.107522006787012,0.15337166158152213,1.2206999655701314,1.1950554589477411,1.2123248255050119,-2.097518579393369,-1.8930537575764421,-2.22449352940597,1.9817504574358025,1.8730364689948025,1.8357904916521897
6.033206641328266,0.13387869584772952,0.1074081839830771,0.1532812385322053,1.2211717221022094,1.1955028677854405,1.21278621463454,-2.0990304786970593,-1.8941424594864094,-2.226225240549812,1.983297202108286,1.8743353637132523,1.8372214009313197
6.04120824164833,0.13378035659311863,0.10729455359675297,0.15319088202969336,1.2216425516048417,1.1959494311480805,1.2132466604360832,-2.1005399264480986,-1.8952290181746783,-2.2279542502605123,1.9848415604994538,1.8756320550075223,1.8386500793604894
6.049209841968394,0.13368213210922836,0.10718111533897787,0.15310059222033517,1.2221124568458017,1.1963951515660853,1.2137061657833623,-2.102046928556667,-1.8963134401057355,-2.2296805644564235,1.986383537893064,1.8769265485403832,1.8400765318209047
6.057211442288458,0.13358402235869266,0.1070678689200297,0.15301036924848657,1.2225814405817113,1.196840031559287,1.2141647335385093,-2.10355149091508,-1.897395731720067,-2.231404189040563,1.9879231395588068,1.8782188499564791,1.8415007631811515
6.065213042608522,0.1334860273028082,0.10695481404953942,0.15292021325653024,1.2230495055580988,1.1972840736369843,1.2146223665521487,-2.105053619397838,-1.8984758994342323,-2.2331251299006976,1.9894603707523326,1.8795089648823584,1.842922778297274
6.073214642928586,0.13338814690154854,0.10684195043650895,0.15283012438488952,1.2235166545094522,1.1977272802980001,1.2150790676634287,-2.1065533198616664,-1.8995539496410139,-2.2348433929093234,1.9909952367152737,1.8807968989265924,1.8443425820127455
6.08121624324865,0.13329038111358055,0.10672927778932384,0.15274010277204833,1.223982890159278,1.1981696540307338,1.2155348397001022,-2.1080505981455993,-1.9006298887094868,-2.236558983923759,1.992527742675298,1.8820826576798084,1.8457601791585554
6.089217843568714,0.13319272989627876,0.10661679581576637,0.15265014855456394,1.2244482152201541,1.1986111973132227,1.2159896854785592,-2.109545460071024,-1.901703722985084,-2.2382719087861207,1.994057893846141,1.8833662467147239,1.8471755745531842
6.097219443888778,0.13309519320574092,0.10650450422303265,0.15256026186708746,1.2249126323937864,1.1990519126131949,1.2164436078039065,-2.1110379114417537,-1.9027754587897512,-2.2399821733234186,1.9955856954276487,1.8846476715862597,1.8485887730026804
6.105221044208842,0.1329977709968019,0.10639240271774522,0.15247044284237707,1.2253761443710638,1.1994918023881207,1.2168966094700027,-2.112527958044075,-1.9038451024220082,-2.24168978334755,1.9971111526058067,1.8859269378315795,1.8499997793006588
